posicao,quantidade_chaves
0,0
1,0
2,0
3,0
4,2
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,2
21,0
22,1
23,0
24,2
25,0
26,0
27,1
28,3
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,2
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,2
47,0
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,3
76,0
77,0
78,3
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,2
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,2
116,0
117,0
118,1
119,0
120,1
121,0
122,2
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,2
136,0
137,2
138,1
139,4
140,0
141,0
142,1
143,2
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,3
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,2
169,1
170,0
171,0
172,0
173,2
174,1
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,2
196,1
197,0
198,0
199,2
200,0
201,0
202,1
203,1
204,1
205,2
206,1
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,2
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,4
232,0
233,0
234,0
235,2
236,2
237,0
238,1
239,0
240,0
241,0
242,2
243,0
244,1
245,1
246,1
247,1
248,1
249,3
250,2
251,1
252,0
253,1
254,2
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,3
265,1
266,1
267,1
268,1
269,0
270,0
271,3
272,0
273,0
274,0
275,2
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,0
284,2
285,1
286,0
287,2
288,1
289,2
290,2
291,3
292,1
293,1
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,2
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,2
331,2
332,0
333,1
334,4
335,0
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,2
353,2
354,2
355,0
356,2
357,1
358,2
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,2
368,0
369,0
370,1
371,1
372,0
373,1
374,2
375,0
376,0
377,0
378,0
379,0
380,1
381,2
382,1
383,1
384,1
385,2
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,2
404,0
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,2
413,0
414,2
415,4
416,0
417,1
418,0
419,1
420,1
421,2
422,1
423,0
424,1
425,0
426,1
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,3
436,0
437,1
438,1
439,2
440,1
441,0
442,1
443,2
444,0
445,0
446,3
447,0
448,1
449,0
450,0
451,0
452,2
453,0
454,1
455,0
456,1
457,0
458,1
459,2
460,0
461,0
462,1
463,0
464,1
465,2
466,1
467,2
468,1
469,0
470,0
471,2
472,0
473,0
474,1
475,0
476,0
477,0
478,2
479,0
480,0
481,1
482,1
483,2
484,1
485,1
486,2
487,0
488,2
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,1
504,0
505,0
506,2
507,0
508,0
509,1
510,1
511,0
512,0
513,2
514,1
515,0
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,2
525,1
526,0
527,2
528,2
529,0
530,0
